Oda_Sayisi,Brut,Net,Bulundugu_Kat,Bina_Yas,Isitma_Tipi,Kat_sayisi,Kullanim_Durumu,Ilce,Fiyat
2+0,75,65,Müstakil,21 Ve Üzeri,Kombi Doğalgaz,2,Boş,Fatih,"15,000"
3+1,140,130,9,4,Kombi Doğalgaz,11,Boş,Esenyurt,"8,500"
2+1,114,100,10,5-10,Merkezi (Pay Ölçer),15,Boş,Küçükçekmece,"10,000"
4+1,192,179,7,11-15,Merkezi (Pay Ölçer),16,Mülk Sahibi Oturuyor,Küçükçekmece,"23,000"
4+1,211,145,1,4,Merkezi (Pay Ölçer),11,Mülk Sahibi Oturuyor,Başakşehir,"40,000"
1+1,65,64,Düz Giriş,11-15,Kombi Doğalgaz,10,Boş,Kadıköy,"12,000"
2+1,80,70,2,5-10,Kombi Doğalgaz,5,Boş,Kağıthane,"10,000"
3+1,110,100,5,4,Kombi Doğalgaz,5,Boş,Çekmeköy,"10,000"
3+1,195,180,Düz Giriş,5-10,Kombi Doğalgaz,4,Boş,Beylikdüzü,"25,000"
3+1,195,180,Düz Giriş,5-10,Kombi Doğalgaz,4,Boş,Beylikdüzü,"25,000"
3+1,150,140,2,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Kağıthane,"16,500"
3+1,120,105,1,21 Ve Üzeri,Kombi Doğalgaz,15,Boş,Büyükçekmece,"9,000"
2+1,85,65,9,5-10,Merkezi (Pay Ölçer),10,Boş,Eyüpsultan,"12,000"
2+1,120,100,Yüksek Giriş,2,Merkezi Doğalgaz,5,Boş,Beylikdüzü,"10,000"
2+1,100,90,Bahçe Katı,11-15,Kombi Doğalgaz,4,Boş,Şile,"8,250"
3+1,150,135,6,11-15,Merkezi Doğalgaz,10,Mülk Sahibi Oturuyor,Esenyurt,"10,000"
3+1,130,120,Villa Tipi,16-20,Kombi Doğalgaz,2,Boş,Şile,"8,000"
1+1,70,50,11,2,Merkezi (Pay Ölçer),25,Boş,Kadıköy,"17,000"
3+1,140,125,1,5-10,Kombi Doğalgaz,5,Boş,Beylikdüzü,"10,000"
3+1,140,136,15,16-20,Merkezi Doğalgaz,15,Boş,Beylikdüzü,"15,000"
3+1,168,136,10,1,Kombi Doğalgaz,19,Boş,Avcılar,"35,000"
3+1,155,150,5,21 Ve Üzeri,Kombi Doğalgaz,6,Boş,Beykoz,"5,000"
4+1,140,130,3,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Fatih,"12,500"
1+1,40,35,Müstakil,0 (Yeni),Kombi Doğalgaz,1,Boş,Sarıyer,"9,000"
2+1,95,80,Düz Giriş,2,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Bakırköy,"30,000"
2+1,120,80,12,2,Merkezi (Pay Ölçer),23,Mülk Sahibi Oturuyor,Kartal,"18,250"
5+2,360,330,Bahçe Katı,11-15,Kombi Doğalgaz,4,Boş,Başakşehir,"40,000"
2+1,115,95,6,21 Ve Üzeri,Kombi Doğalgaz,6,Boş,Küçükçekmece,"8,000"
1+1,55,50,Düz Giriş,5-10,Kombi Doğalgaz,4,Boş,Ataşehir,"8,000"
2+1,120,100,Villa Tipi,11-15,Kombi Doğalgaz,2,Boş,Şile,"7,900"
1 Oda,55,50,2,5-10,Kombi Doğalgaz,5,Boş,Avcılar,"3,500"
2+1,120,110,3,11-15,Kombi Doğalgaz,5,Kiracı Oturuyor,Şişli,"14,000"
2+1,100,85,4,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bahçelievler,"8,500"
2+1,130,120,4,4,Kombi Doğalgaz,6,Kiracı Oturuyor,Esenyurt,"10,000"
3+1,140,130,1,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bahçelievler,"12,000"
2+1,95,90,1,4,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Esenyurt,"6,500"
2+1,85,80,2,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Büyükçekmece,"10,000"
2+1,95,85,5,5-10,Kombi Doğalgaz,5,Boş,Sultangazi,"8,000"
4+1,180,160,Çatı Dubleks,5-10,Kombi Doğalgaz,3,Boş,Zeytinburnu,"18,000"
3+1,100,95,3,21 Ve Üzeri,Yerden Isıtma,5,Boş,Tuzla,"6,500"
2+1,80,70,1,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Beykoz,"15,000"
3+1,120,105,1,21 Ve Üzeri,Kombi Doğalgaz,10,Boş,Büyükçekmece,"9,000"
2+1,130,120,Bahçe Dublex,3,Kombi Doğalgaz,4,Boş,Küçükçekmece,"13,000"
3+1,160,150,1,4,Kombi Doğalgaz,4,Boş,Avcılar,"11,000"
2+1,110,90,12,1,Merkezi (Pay Ölçer),16,Boş,Kağıthane,"18,750"
2+1,90,85,2,4,Kombi Doğalgaz,5,Boş,Kağıthane,"9,500"
2+1,75,70,Yüksek Giriş,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Fatih,"10,000"
2+1,75,70,Yüksek Giriş,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Fatih,"10,000"
1+1,69,53,3,2,Yerden Isıtma,14,Boş,Sarıyer,"30,000"
1+1,80,70,5,2,Kombi Doğalgaz,6,Boş,Küçükçekmece,"11,000"
2+1,100,80,5,1,Kombi Doğalgaz,5,Boş,Beyoğlu,"13,000"
2+1,130,110,4,4,Merkezi (Pay Ölçer),10,Boş,Kağıthane,"32,000"
1+1,85,75,7,5-10,Merkezi (Pay Ölçer),25,Boş,Esenyurt,"6,000"
4+1,180,140,Düz Giriş,4,Merkezi (Pay Ölçer),5,Mülk Sahibi Oturuyor,Başakşehir,"27,000"
5+1,397,320,Villa Tipi,16-20,Kombi Doğalgaz,4,Boş,Tuzla,"19,500"
2+1,100,95,2,16-20,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Avcılar,"9,000"
4+2,270,240,Müstakil,21 Ve Üzeri,Merkezi Doğalgaz,4,Boş,Beykoz,"27,000"
2+1,100,96,8,5-10,Merkezi (Pay Ölçer),8,Boş,Pendik,"15,000"
2+1,85,75,2,4,Kombi Doğalgaz,20,Boş,Kağıthane,"14,500"
Stüdyo,50,45,Düz Giriş,16-20,Kombi Doğalgaz,4,Boş,Şişli,"8,000"
3+1,125,120,2,11-15,Kombi Doğalgaz,6,Boş,Silivri,"6,500"
2+1,85,80,2,21 Ve Üzeri,Kombi Doğalgaz,6,Kiracı Oturuyor,Şişli,"16,000"
3+1,135,115,2,21 Ve Üzeri,Merkezi Doğalgaz,5,Boş,Kadıköy,"15,000"
1+1,75,55,12,4,Merkezi (Pay Ölçer),20,Boş,Sarıyer,"25,000"
1+1,75,65,9,5-10,Merkezi (Pay Ölçer),28,Boş,Küçükçekmece,"12,500"
2+1,85,75,8,5-10,Merkezi (Pay Ölçer),9,Boş,Başakşehir,"13,000"
3+1,135,115,3,11-15,Kombi Doğalgaz,4,Boş,Kadıköy,"15,000"
1+1,70,50,11,2,Merkezi (Pay Ölçer),24,Boş,Kadıköy,"17,000"
Stüdyo,25,20,Yarı Bodrum,4,Klimalı,4,Boş,Fatih,"4,000"
2+1,85,75,2,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Büyükçekmece,"7,500"
4+2,320,300,Müstakil,5-10,Kombi Doğalgaz,2,Boş,Büyükçekmece,"16,000"
2+1,98,75,9,11-15,Merkezi (Pay Ölçer),11,Boş,Sancaktepe,"15,000"
3+1,130,100,3,21 Ve Üzeri,Merkezi Doğalgaz,6,Boş,Kadıköy,"15,000"
2+1,110,90,3,3,Merkezi (Pay Ölçer),11,Boş,Kadıköy,"18,000"
3+1,135,120,5,21 Ve Üzeri,Kombi Doğalgaz,6,Boş,Kadıköy,"19,000"
2+1,95,85,5,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bahçelievler,"8,500"
1+1,85,65,14,1,Merkezi Doğalgaz,18,Boş,Sarıyer,"25,000"
2+1,125,101,6,2,Merkezi Doğalgaz,12,Boş,Sarıyer,"35,000"
3+1,225,155,9,3,Merkezi (Pay Ölçer),9,Boş,Pendik,"19,000"
1+1,67,47,9,5-10,Merkezi (Pay Ölçer),14,Boş,Esenyurt,"6,000"
1+1,90,80,Çatı Katı,3,Kombi Doğalgaz,4,Boş,Beylikdüzü,"6,500"
3+1,140,120,1,21 Ve Üzeri,Merkezi Doğalgaz,4,Boş,Avcılar,"9,000"
1+1,95,85,30,5-10,Merkezi (Pay Ölçer),30,Boş,Esenyurt,"7,000"
1+1,50,30,4,4,Merkezi Doğalgaz,14,Boş,Kağıthane,"13,000"
1+1,70,60,22,5-10,Kombi Doğalgaz,25,Boş,Esenyurt,"7,000"
1+1,70,50,Bahçe Katı,21 Ve Üzeri,Sobalı,1,Boş,Maltepe,"4,500"
3+1,138,122,3,5-10,Merkezi (Pay Ölçer),15,Boş,Küçükçekmece,"16,500"
2+1,85,75,2,5-10,Merkezi (Pay Ölçer),14,Boş,Başakşehir,"11,000"
2.5+1,125,90,8,1,Merkezi Doğalgaz,13,Boş,Kağıthane,"35,000"
1+1,85,65,9,5-10,Merkezi Doğalgaz,30,Boş,Sarıyer,"25,000"
5+2,370,320,Düz Giriş,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Esenyurt,"28,000"
3+1,200,150,Düz Giriş,5-10,Kombi Doğalgaz,2,Boş,Şile,"12,000"
2+1,90,80,4,5-10,Kombi Doğalgaz,4,Boş,Beylikdüzü,"12,500"
3+1,130,120,2,16-20,Kombi Doğalgaz,2,Boş,Sarıyer,"16,000"
2+1,90,80,3,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Fatih,"7,000"
5+2,350,330,Müstakil,5-10,Kombi Doğalgaz,3,Boş,Büyükçekmece,"28,000"
5+2,350,330,Müstakil,5-10,Kombi Doğalgaz,3,Boş,Büyükçekmece,"28,000"
1 Oda,40,30,3,5-10,Merkezi Doğalgaz,4,Boş,Fatih,"6,000"
3+1,170,140,10,11-15,Kombi Doğalgaz,13,Boş,Ataşehir,"34,000"
5+2,200,180,Çatı Dubleks,5-10,Kombi Doğalgaz,5,Boş,Beylikdüzü,"15,000"
2+1,95,85,4,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Şile,"6,000"
1+1,70,60,2,1,Kombi Doğalgaz,4,Boş,Çekmeköy,"15,950"
3+1,125,100,2,2,Yerden Isıtma,4,Boş,Üsküdar,"27,500"
3+1,130,110,Düz Giriş,4,Merkezi Doğalgaz,6,Boş,Şişli,"45,000"
2+1,145,130,2,5-10,Kombi Doğalgaz,5,Boş,Esenyurt,"11,500"
2+1,90,80,2,5-10,Kombi Doğalgaz,17,Boş,Avcılar,"13,000"
1+1,45,35,9,1,Merkezi (Pay Ölçer),17,Boş,Kağıthane,"20,000"
3+1,142,110,7,5-10,Merkezi (Pay Ölçer),13,Boş,Esenyurt,"14,000"
1+1,75,70,3,2,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Şişli,"8,000"
2+1,78,72,3,5-10,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"10,000"
2+1,75,70,3,5-10,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Şişli,"10,000"
2+1,100,80,3,5-10,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"10,000"
2+1,80,70,1,5-10,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"13,000"
2+1,100,90,2,3,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Şişli,"12,500"
2+1,75,65,3,11-15,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Şişli,"10,000"
2+1,100,90,3,5-10,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Şişli,"10,000"
2+1,65,60,4,5-10,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Şişli,"8,500"
2+1,75,65,3,5-10,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Şişli,"10,000"
2+1,85,80,2,3,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Şişli,"11,000"
1+1,75,70,3,3,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"12,000"
Stüdyo,40,30,Kot 2 (-2),2,Kombi Doğalgaz,6,Mülk Sahibi Oturuyor,Şişli,"7,000"
1+1,52,40,Bahçe Katı,2,Kombi Doğalgaz,7,Mülk Sahibi Oturuyor,Şişli,"7,000"
2+1,72,68,4,5-10,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"8,500"
2+1,70,65,4,1,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"8,500"
2+1,70,65,4,1,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"8,500"
1+1,55,45,Çatı Katı,0 (Yeni),Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Ataşehir,"7,250"
Stüdyo,60,45,Bahçe Katı,4,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Sarıyer,"29,000"
Stüdyo,60,50,Bahçe Katı,4,Merkezi (Pay Ölçer),60,Mülk Sahibi Oturuyor,Sarıyer,"29,000"
2+1,100,90,4,5-10,Kombi Doğalgaz,5,Boş,Kağıthane,"12,000"
3+1,120,110,3,16-20,Kombi Doğalgaz,5,Boş,Başakşehir,"10,500"
2+1,90,80,2,11-15,Kombi Doğalgaz,3,Boş,Avcılar,"11,000"
1+1,50,40,1,11-15,Merkezi (Pay Ölçer),4,Boş,Ataşehir,"13,000"
1+1,75,70,3,16-20,Kombi Doğalgaz,3,Boş,Avcılar,"7,000"
3+1,145,130,3,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Bahçelievler,"8,500"
2+1,110,90,Bahçe Katı,5-10,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Esenyurt,"4,750"
2+1,115,75,15,4,Merkezi (Pay Ölçer),20,Mülk Sahibi Oturuyor,Başakşehir,"22,000"
2+1,148,101,2,4,Merkezi (Pay Ölçer),22,Mülk Sahibi Oturuyor,Gaziosmanpaşa,"19,500"
1+1,92,61,7,4,Merkezi (Pay Ölçer),26,Mülk Sahibi Oturuyor,Gaziosmanpaşa,"14,500"
2+1,100,90,3,5-10,Kombi Doğalgaz,6,Mülk Sahibi Oturuyor,Pendik,"15,000"
4+2,220,180,2,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Beyoğlu,"35,000"
3+1,150,120,4,1,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Beylikdüzü,"34,000"
3+1,185,145,4,16-20,Kombi Doğalgaz,11,Mülk Sahibi Oturuyor,Şişli,"45,000"
5+2,230,194,2,11-15,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Büyükçekmece,"21,880"
1+1,65,55,1,4,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"9,000"
2+1,80,70,Bahçe Katı,11-15,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Avcılar,"7,000"
1+1,75,70,Müstakil,21 Ve Üzeri,Kombi Doğalgaz,2,Mülk Sahibi Oturuyor,Sarıyer,"18,000"
3+1,100,95,3,16-20,Boş,Kombi Doğalgaz,İkinci El,Fatih,"40,250"
3+1,185,165,14,16-20,Kombi Doğalgaz,15,Mülk Sahibi Oturuyor,Beylikdüzü,"17,000"
1+1,90,80,3,5-10,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Çekmeköy,"11,000"
2+1,95,85,Düz Giriş,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Ataşehir,"12,000"
4+2,280,250,5,5-10,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Maltepe,"3,500"
2+1,95,94,4,0 (Yeni),Merkezi (Pay Ölçer),14,Boş,Zeytinburnu,"21,000"
2+1,95,94,6,0 (Yeni),Merkezi (Pay Ölçer),14,Boş,Zeytinburnu,"20,000"
2+1,95,94,5,0 (Yeni),Merkezi (Pay Ölçer),14,Boş,Zeytinburnu,"20,000"
1+1,75,62,15,4,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Esenyurt,"9,100"
4+1,155,115,Düz Giriş,5-10,Doğalgaz Sobalı,2,Mülk Sahibi Oturuyor,Şile,"9,000"
4+1,228,202,Düz Giriş,0 (Yeni),Kombi Doğalgaz,2,Mülk Sahibi Oturuyor,Şile,"15,000"
1+1,500,60,Villa Tipi,0 (Yeni),Klimalı,2,Boş,Arnavutköy,"18,000"
3+1,140,120,Düz Giriş,21 Ve Üzeri,Kombi Doğalgaz,2,Mülk Sahibi Oturuyor,Şile,"9,000"
1+1,82,75,6,1,Merkezi (Pay Ölçer),10,Mülk Sahibi Oturuyor,Başakşehir,"10,000"
2+1,128,105,6,5-10,Kombi Doğalgaz,15,Mülk Sahibi Oturuyor,Esenyurt,"7,000"
3+1,135,120,5,5-10,Kombi Doğalgaz,8,Mülk Sahibi Oturuyor,Silivri,"5,000"
3+1,174,120,14,4,Merkezi Doğalgaz,15,Mülk Sahibi Oturuyor,Başakşehir,"36,000"
2+1,75,70,2,11-15,Merkezi (Pay Ölçer),12,Mülk Sahibi Oturuyor,Başakşehir,"8,750"
1+1,65,55,Bahçe Katı,16-20,Kombi Doğalgaz,4,Boş,Sarıyer,"15,000"
3+2,155,145,2,16-20,Kombi Doğalgaz,3,Boş,Sarıyer,"26,000"
2+1,140,100,12,5-10,Merkezi (Pay Ölçer),20,Mülk Sahibi Oturuyor,Sarıyer,"30,000"
1+1,80,70,5,16-20,Kombi Doğalgaz,6,Boş,Bahçelievler,"12,000"
1+1,70,60,5,16-20,Kombi Doğalgaz,6,Kiracı Oturuyor,Bahçelievler,"10,000"
1+1,76,65,5,4,Yerden Isıtma,11,Mülk Sahibi Oturuyor,Büyükçekmece,"7,800"
1+1,70,60,3,4,Merkezi Doğalgaz,18,Mülk Sahibi Oturuyor,Bağcılar,"10,000"
Stüdyo,50,30,4,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Şişli,"8,000"
1+1,80,70,7,4,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Esenyurt,"11,000"
1+1,80,70,10,4,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Esenyurt,"10,000"
2+1,110,100,16,16-20,Merkezi Doğalgaz,17,Boş,Zeytinburnu,"13,000"
2+1,100,90,Kot 2 (-2),16-20,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Şile,"6,000"
1+1,74,65,5,5-10,Merkezi (Pay Ölçer),15,Mülk Sahibi Oturuyor,Küçükçekmece,"10,000"
1+1,60,47,Yüksek Giriş,16-20,Merkezi Doğalgaz,4,Mülk Sahibi Oturuyor,Küçükçekmece,"6,500"
4+1,142,122,3,0 (Yeni),Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Kadıköy,"37,500"
2+1,85,75,4,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Kadıköy,"14,000"
2+1,116,87,16,5-10,Merkezi (Pay Ölçer),19,Mülk Sahibi Oturuyor,Küçükçekmece,"15,000"
2+1,100,90,2,5-10,Merkezi (Pay Ölçer),30,Boş,Esenyurt,"12,500"
3+1,164,140,Yüksek Giriş,5-10,Merkezi (Pay Ölçer),16,Boş,Başakşehir,"25,000"
3+1,135,120,1,1,Merkezi (Pay Ölçer),7,Boş,Başakşehir,"12,000"
2+1,100,87,2,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Beşiktaş,"22,000"
1+1,98,78,5,5-10,Kombi Doğalgaz,30,Mülk Sahibi Oturuyor,Sarıyer,"35,000"
2+1,130,110,4,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Fatih,"15,000"
4+1,216,150,23,4,Merkezi (Pay Ölçer),24,Mülk Sahibi Oturuyor,Kadıköy,"28,000"
1+1,65,50,13,0 (Yeni),Merkezi (Pay Ölçer),14,Mülk Sahibi Oturuyor,Kağıthane,"16,000"
3+1,145,125,5,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Silivri,"4,000"
4+2,450,300,Düz Giriş,21 Ve Üzeri,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Beylikdüzü,"20,000"
1+1,85,67,8,5-10,Yerden Isıtma,23,Mülk Sahibi Oturuyor,Sarıyer,"23,000"
2+1,126,105,4,4,Merkezi (Pay Ölçer),13,Mülk Sahibi Oturuyor,Sarıyer,"30,000"
1+1,85,67,5,5-10,Yerden Isıtma,21,Mülk Sahibi Oturuyor,Sarıyer,"23,000"
1+1,85,65,8,5-10,Yerden Isıtma,20,Mülk Sahibi Oturuyor,Sarıyer,"23,000"
1+1,85,65,8,5-10,Yerden Isıtma,20,Mülk Sahibi Oturuyor,Sarıyer,"23,000"
3+1,190,130,22,4,Yerden Isıtma,27,Mülk Sahibi Oturuyor,Sarıyer,"42,000"
1+1,85,55,6,5-10,Yerden Isıtma,19,Mülk Sahibi Oturuyor,Sarıyer,"23,000"
1+1,85,55,8,5-10,Yerden Isıtma,20,Mülk Sahibi Oturuyor,Sarıyer,"23,000"
2+1,165,100,17,4,Merkezi (Pay Ölçer),21,Mülk Sahibi Oturuyor,Sarıyer,"35,000"
1+1,85,65,9,5-10,Yerden Isıtma,23,Mülk Sahibi Oturuyor,Sarıyer,"23,000"
2+1,101,72,10,5-10,Merkezi (Pay Ölçer),19,Mülk Sahibi Oturuyor,Sarıyer,"35,000"
2+1,85,80,1,16-20,Kombi Doğalgaz,7,Boş,Fatih,"10,900"
3+1,190,175,5,5-10,Merkezi (Pay Ölçer),10,Mülk Sahibi Oturuyor,Küçükçekmece,"32,000"
3+1,160,150,2,4,Yerden Isıtma,3,Mülk Sahibi Oturuyor,Beykoz,"15,000"
2+1,120,110,4,1,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Beylikdüzü,"12,000"
2+1,100,90,4,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Tuzla,"5,500"
2+1,100,90,4,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Tuzla,"5,500"
2+1,90,80,5,4,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Kağıthane,"15,000"
2+1,85,80,1,4,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Beylikdüzü,"12,000"
Stüdyo,49,37,6,4,Klimalı,19,Kiracı Oturuyor,Maltepe,"10,000"
1+1,60,45,6,5-10,Merkezi (Pay Ölçer),9,Mülk Sahibi Oturuyor,Pendik,"9,500"
3+1,135,120,7,16-20,Kombi Doğalgaz,10,Mülk Sahibi Oturuyor,Pendik,"15,000"
3+1,180,170,4,16-20,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Avcılar,"10,000"
3+1,130,120,3,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Avcılar,"8,000"
3+1,170,130,2,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Büyükçekmece,"30,000"
2+1,90,89,3,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Bahçelievler,"9,000"
2+1,80,70,2,21 Ve Üzeri,Kombi Doğalgaz,2,Boş,Gaziosmanpaşa,"5,000"
3+1,125,95,6,3,Merkezi (Pay Ölçer),11,Mülk Sahibi Oturuyor,Kadıköy,"22,400"
3+1,175,160,2,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Fatih,"15,000"
3+1,140,130,2,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Fatih,"19,000"
1+1,69,45,18,0 (Yeni),Merkezi (Pay Ölçer),21,Mülk Sahibi Oturuyor,Başakşehir,"7,000"
4+1,220,150,3,21 Ve Üzeri,Merkezi (Pay Ölçer),7,Mülk Sahibi Oturuyor,Başakşehir,"22,000"
1+1,75,70,11,5-10,Merkezi (Pay Ölçer),12,Mülk Sahibi Oturuyor,Esenyurt,"7,500"
2+1,65,60,3,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Zeytinburnu,"7,500"
2+1,117,98,7,4,Kombi Doğalgaz,18,Mülk Sahibi Oturuyor,Pendik,"15,000"
2+1,120,100,2,16-20,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Büyükçekmece,"8,000"
Stüdyo,45,32,8,3,Merkezi (Pay Ölçer),9,Mülk Sahibi Oturuyor,Pendik,"6,000"
1+1,65,60,4,11-15,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Ataşehir,"10,000"
2+1,120,100,2,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Şişli,"18,500"
2+1,82,70,4,4,Merkezi (Pay Ölçer),4,Boş,Başakşehir,"10,500"
2+1,115,85,6,5-10,Merkezi (Pay Ölçer),15,Boş,Esenyurt,"7,500"
2+1,85,80,Yüksek Giriş,4,Kombi Doğalgaz,5,Boş,Şişli,"15,000"
3+1,110,80,Yüksek Giriş,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Adalar,"9,000"
