Oda_Sayisi,Brut,Net,Bulundugu_Kat,Bina_Yas,Isitma_Tipi,Kat_sayisi,Kullanim_Durumu,Ilce,Fiyat
2+1,120,80,Bahçe Katı,3,Yerden Isıtma,21,Mülk Sahibi Oturuyor,Kartal,"16,000"
3+1,120,100,4,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Kartal,"8,000"
2+1,115,95,Düz Giriş,11-15,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Tuzla,"9,000"
3+2,340,270,Müstakil,5-10,Kombi Doğalgaz,4,Boş,Sarıyer,"40,000"
2+1,100,90,2,11-15,Kombi Doğalgaz,2,Mülk Sahibi Oturuyor,Beykoz,"10,000"
4+1,265,245,10,5-10,Merkezi (Pay Ölçer),12,Mülk Sahibi Oturuyor,Başakşehir,"34,000"
2+2,150,120,2,3,Kombi Doğalgaz,2,Mülk Sahibi Oturuyor,Şile,"8,000"
2+1,110,100,1,0 (Yeni),Yerden Isıtma,5,Boş,Beşiktaş,"26,000"
1+1,66,52,15,1,Merkezi (Pay Ölçer),17,Boş,Kağıthane,"18,000"
1+1,90,80,Çatı Katı,21 Ve Üzeri,Klimalı,4,Boş,Fatih,"5,700"
1+1,86,56,14,5-10,Yerden Isıtma,20,Boş,Sarıyer,"22,000"
2+1,100,90,Müstakil,21 Ve Üzeri,Isıtma Yok,2,Boş,Gaziosmanpaşa,"7,000"
2+1,98,88,3,0 (Yeni),Kombi Doğalgaz,5,Boş,Sultangazi,"10,000"
2+1,110,103,Bahçe Katı,5-10,Merkezi (Pay Ölçer),14,Mülk Sahibi Oturuyor,Küçükçekmece,"21,500"
2+1,110,103,Bahçe Katı,5-10,Merkezi (Pay Ölçer),18,Mülk Sahibi Oturuyor,Küçükçekmece,"25,000"
2.5+1,220,200,13,5-10,Merkezi Doğalgaz,13,Mülk Sahibi Oturuyor,Küçükçekmece,"17,000"
3+1,175,150,7,11-15,Merkezi (Pay Ölçer),9,Mülk Sahibi Oturuyor,Esenyurt,"10,500"
3+1,175,156,3,11-15,Kombi Doğalgaz,12,Mülk Sahibi Oturuyor,Beylikdüzü,"10,500"
3+1,190,180,1,21 Ve Üzeri,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Avcılar,"12,000"
2+1,145,120,15,5-10,Kombi Doğalgaz,18,Mülk Sahibi Oturuyor,Esenyurt,"10,000"
5+2,345,280,12,5-10,Kombi Doğalgaz,12,Mülk Sahibi Oturuyor,Beylikdüzü,"23,000"
2+1,105,90,21,5-10,Merkezi (Pay Ölçer),28,Mülk Sahibi Oturuyor,Avcılar,"13,000"
2+1,125,100,16,5-10,Merkezi (Pay Ölçer),18,Mülk Sahibi Oturuyor,Bayrampaşa,"22,500"
2+1,80,75,Bahçe Katı,21 Ve Üzeri,Merkezi Doğalgaz,5,Boş,Beşiktaş,"15,000"
1+1,67,50,16,5-10,Merkezi (Pay Ölçer),23,Mülk Sahibi Oturuyor,Kağıthane,"13,500"
3+1,130,120,3,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Avcılar,"8,000"
2+1,95,85,Yüksek Giriş,11-15,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Bahçelievler,"7,000"
3+1,144,125,Düz Giriş,5-10,Kombi Doğalgaz,30,Mülk Sahibi Oturuyor,Esenyurt,"8,000"
2+1,85,80,2,5-10,Merkezi (Pay Ölçer),10,Mülk Sahibi Oturuyor,Başakşehir,"12,000"
2+1,119,90,4,11-15,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Silivri,"5,500"
1+1,83,62,8,5-10,Yerden Isıtma,20,Boş,Sarıyer,"23,000"
3+1,200,158,Bahçe Katı,5-10,Merkezi Doğalgaz,30,Boş,Sarıyer,"40,000"
1.5+1,115,61,8,0 (Yeni),Merkezi (Pay Ölçer),18,Boş,Bahçelievler,"16,000"
3+1,130,120,3,5-10,Kombi Doğalgaz,4,Boş,Küçükçekmece,"10,000"
2+1,100,90,Düz Giriş,3,Kombi Doğalgaz,5,Boş,Avcılar,"12,250"
1+1,85,65,14,5-10,Merkezi (Pay Ölçer),32,Mülk Sahibi Oturuyor,Sarıyer,"20,000"
3+1,135,125,1,21 Ve Üzeri,Kombi Doğalgaz,14,Mülk Sahibi Oturuyor,Beylikdüzü,"12,500"
2+1,70,60,Bahçe Katı,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Üsküdar,"24,000"
4+1,190,180,5,5-10,Kombi Doğalgaz,5,Boş,Bahçelievler,"14,000"
2+1,135,120,3,5-10,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Büyükçekmece,"15,000"
2+1,190,150,Bahçe Katı,5-10,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Beylikdüzü,"13,000"
2+1,110,90,8,4,Merkezi (Pay Ölçer),8,Mülk Sahibi Oturuyor,Kadıköy,"20,000"
2+1,110,100,4,16-20,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Avcılar,"13,000"
2+1,100,90,2,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Avcılar,"6,000"
3+1,154,130,20,5-10,Merkezi (Pay Ölçer),22,Mülk Sahibi Oturuyor,Başakşehir,"22,000"
3+1,169,137,2,4,Yerden Isıtma,28,Boş,Başakşehir,"30,000"
2+1,110,95,Bahçe Katı,16-20,Kombi Doğalgaz,3,Boş,Büyükçekmece,"10,000"
3+1,150,130,5,3,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Beylikdüzü,"12,500"
Stüdyo,65,55,10,5-10,Merkezi (Pay Ölçer),30,Boş,Sarıyer,"20,000"
2+1,125,110,5,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bahçelievler,"8,000"
1+1,60,50,5,5-10,Merkezi Doğalgaz,11,Boş,Beşiktaş,"28,000"
1+1,60,50,4,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bakırköy,"15,000"
1+1,55,50,6,21 Ve Üzeri,Merkezi Doğalgaz,14,Boş,Küçükçekmece,"6,500"
1+1,75,70,2,16-20,Kombi Doğalgaz,4,Boş,Büyükçekmece,"6,000"
2+1,90,80,Düz Giriş,5-10,Kombi Doğalgaz,5,Boş,Beylikdüzü,"8,300"
2+1,95,85,Yüksek Giriş,16-20,Güneş Enerjisi,4,Boş,Büyükçekmece,"6,500"
6+1,240,220,Çatı Dubleks,16-20,Kombi Doğalgaz,4,Boş,Şişli,"20,000"
2+1,116,75,5,4,Merkezi (Pay Ölçer),24,Mülk Sahibi Oturuyor,Kadıköy,"21,000"
2+1,85,75,1,11-15,Kombi Doğalgaz,10,Boş,Esenyurt,"8,500"
2+1,90,80,Yüksek Giriş,5-10,Kombi Doğalgaz,3,Boş,Şile,"5,000"
2+1,150,130,5,5-10,Merkezi (Pay Ölçer),14,Boş,Esenyurt,"10,000"
1+1,49,40,2,5-10,Merkezi (Pay Ölçer),3,Boş,Başakşehir,"5,000"
4+2,260,250,1,16-20,Kombi Doğalgaz,3,Boş,Üsküdar,"11,000"
2+1,150,130,5,5-10,Merkezi (Pay Ölçer),14,Boş,Esenyurt,"10,000"
1+1,49,40,2,5-10,Merkezi (Pay Ölçer),3,Boş,Başakşehir,"5,000"
4+2,260,250,1,16-20,Kombi Doğalgaz,3,Boş,Üsküdar,"11,000"
1+1,82,72,6,2,Merkezi Doğalgaz,10,Boş,Başakşehir,"10,000"
1+1,80,70,1,4,Merkezi (Pay Ölçer),10,Boş,Esenyurt,"7,000"
2+1,140,120,4,16-20,Kombi Doğalgaz,4,Boş,Fatih,"18,000"
3+1,147,110,5,2,Merkezi Doğalgaz,12,Boş,Başakşehir,"15,000"
4+1,260,250,Villa Tipi,21 Ve Üzeri,Kombi Doğalgaz,2,Boş,Arnavutköy,"18,500"
2+1,120,110,2,11-15,Merkezi Doğalgaz,7,Boş,Beylikdüzü,"13,000"
2+1,130,120,4,5-10,Merkezi (Pay Ölçer),5,Boş,Beylikdüzü,"15,000"
2+1,100,95,2,5-10,Merkezi Doğalgaz,5,Kiracı Oturuyor,Beylikdüzü,"8,000"
2+1,110,100,10,4,Merkezi (Pay Ölçer),22,Boş,Esenyurt,"15,000"
3+1,170,125,15,11-15,Merkezi Doğalgaz,15,Boş,Sarıyer,"40,000"
3+1,140,125,3,11-15,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"27,500"
3+2,200,175,6,5-10,Kombi Doğalgaz,6,Boş,Beylikdüzü,"15,000"
1+1,75,60,5,5-10,Merkezi (Pay Ölçer),30,Boş,Esenyurt,"7,500"
Stüdyo,50,40,3,5-10,Merkezi (Pay Ölçer),12,Boş,Esenyurt,"6,000"
2+1,125,115,Düz Giriş,5-10,Kombi Doğalgaz,7,Boş,Beylikdüzü,"8,000"
2+1,118,100,6,0 (Yeni),Merkezi (Pay Ölçer),15,Mülk Sahibi Oturuyor,Zeytinburnu,"25,000"
2+1,80,65,3,3,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Üsküdar,"16,500"
2+2,170,150,4,2,Kombi Doğalgaz,4,Boş,Maltepe,"16,006"
1+1,80,75,2,5-10,Merkezi (Pay Ölçer),14,Boş,Esenyurt,"7,000"
1+1,80,65,Villa Tipi,5-10,Kombi Doğalgaz,2,Boş,Şile,"6,000"
3+1,135,120,2,16-20,Kombi Doğalgaz,2,Boş,Beykoz,"3,000"
4+1,200,190,Bahçe Dublex,5-10,Kombi Doğalgaz,4,Boş,Beylikdüzü,"25,000"
2+1,110,100,6,5-10,Merkezi (Pay Ölçer),22,Mülk Sahibi Oturuyor,Esenyurt,"9,000"
1+1,82,65,12,5-10,Merkezi (Pay Ölçer),14,Mülk Sahibi Oturuyor,Esenyurt,"6,500"
1+1,83,70,Düz Giriş,5-10,Merkezi Doğalgaz,15,Mülk Sahibi Oturuyor,Esenyurt,"8,500"
4+1,187,135,11,11-15,Merkezi (Pay Ölçer),16,Mülk Sahibi Oturuyor,Esenyurt,"20,000"
Stüdyo,40,30,19,5-10,Kombi Doğalgaz,25,Mülk Sahibi Oturuyor,Esenyurt,"4,500"
Stüdyo,40,30,19,5-10,Kombi Doğalgaz,25,Mülk Sahibi Oturuyor,Esenyurt,"4,500"
3+1,237,170,30-40,5-10,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Küçükçekmece,"26,000"
2+1,110,100,2,11-15,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Şile,"7,500"
2+1,100,90,2,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Silivri,"6,000"
2+1,100,90,2,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Silivri,"5,000"
1+1,82,55,9,5-10,Merkezi (Pay Ölçer),20,Mülk Sahibi Oturuyor,Sarıyer,"35,000"
3+1,150,140,3,5-10,Kombi Doğalgaz,8,Mülk Sahibi Oturuyor,Kağıthane,"25,000"
3+1,165,150,Düz Giriş,5-10,Yerden Isıtma,5,Mülk Sahibi Oturuyor,Beylikdüzü,"30,000"
3+1,205,180,Düz Giriş,21 Ve Üzeri,Kombi Doğalgaz,2,Mülk Sahibi Oturuyor,Tuzla,"18,000"
4+2,210,200,4,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Üsküdar,"12,000"
2+1,95,85,3,3,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Bağcılar,"7,500"
2+1,110,70,7,3,Merkezi (Pay Ölçer),25,Mülk Sahibi Oturuyor,Kartal,"15,000"
1+1,90,85,14,5-10,Merkezi Doğalgaz,17,Mülk Sahibi Oturuyor,Başakşehir,"12,000"
4+1,180,155,Çatı Dubleks,4,Kombi Doğalgaz,5,Boş,Bahçelievler,"15,000"
1+1,75,65,1,5-10,Kombi Doğalgaz,6,Mülk Sahibi Oturuyor,Esenyurt,"7,000"
3+1,105,95,Kot 1 (-1),16-20,Merkezi Doğalgaz,5,Mülk Sahibi Oturuyor,Beşiktaş,"24,000"
3+1,100,80,3,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Beyoğlu,"12,750"
2+1,150,115,1,0 (Yeni),Merkezi (Pay Ölçer),10,Boş,Beylikdüzü,"12,000"
2+1,130,110,Bahçe Katı,0 (Yeni),Kombi Doğalgaz,4,Boş,Beylikdüzü,"10,000"
4+2,360,330,Müstakil,11-15,Kombi Doğalgaz,4,Boş,Başakşehir,"30,000"
1+1,100,90,1,5-10,Merkezi (Pay Ölçer),13,Mülk Sahibi Oturuyor,Esenyurt,"8,500"
1+1,65,60,3,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Sarıyer,"7,500"
2+1,110,90,1,5-10,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Esenyurt,"7,500"
2+1,100,85,2,21 Ve Üzeri,Merkezi Doğalgaz,5,Mülk Sahibi Oturuyor,Bakırköy - Ataköy 3-4,"14,500"
3+1,120,110,4,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Bahçelievler,"10,000"
2+1,110,100,1,16-20,Kombi Doğalgaz,5,Boş,Bahçelievler,"14,000"
2+1,90,80,Yüksek Giriş,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Kadıköy,"22,000"
2.5+1,155,125,2,4,Merkezi Doğalgaz,12,Boş,Sarıyer,"35,000"
2+1,92,68,3,2,Merkezi (Pay Ölçer),7,Mülk Sahibi Oturuyor,Silivri,"5,200"
1+1,72,48,7,4,Merkezi (Pay Ölçer),12,Mülk Sahibi Oturuyor,Arnavutköy,"5,000"
1+1,88,65,2,4,Merkezi Doğalgaz,30,Boş,Şişli,"20,000"
3+1,160,130,20,4,Merkezi Doğalgaz,32,Boş,Sarıyer,"35,000"
Stüdyo,55,40,2,4,Merkezi Doğalgaz,9,Boş,Sarıyer,"16,000"
1+1,89,57,11,4,Merkezi (Pay Ölçer),20,Mülk Sahibi Oturuyor,Gaziosmanpaşa,"14,000"
4+1,280,240,1,4,Merkezi (Pay Ölçer),14,Mülk Sahibi Oturuyor,Başakşehir,"15,000"
3+1,110,100,3,21 Ve Üzeri,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Adalar,"10,000"
1+1,80,70,Çatı Katı,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Beşiktaş,"15,000"
1+1,75,65,2,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"22,000"
2+1,90,80,3,11-15,Kombi Doğalgaz,6,Boş,Avcılar,"12,000"
2+1,135,110,6,0 (Yeni),Merkezi Doğalgaz,18,Boş,Şişli,"39,900"
2+1,100,95,4,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Kadıköy,"10,500"
3+1,120,110,4,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Fatih,"4,500"
2+1,75,65,2,3,Kombi Doğalgaz,7,Boş,Kadıköy,"20,000"
2+1,85,80,3,11-15,Kombi Doğalgaz,4,Boş,Ataşehir,"8,250"
2+1,110,90,2,16-20,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Silivri,"7,000"
Stüdyo,55,40,1,2,Merkezi (Pay Ölçer),16,Boş,Sarıyer,"16,000"
3+1,105,95,Kot 1 (-1),16-20,Merkezi (Pay Ölçer),5,Mülk Sahibi Oturuyor,Beşiktaş,"24,000"
4+2,180,165,5,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Bahçelievler,"12,500"
3+1,170,120,4,5-10,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Sarıyer,"45,000"
1+1,92,61,9,4,Merkezi (Pay Ölçer),26,Mülk Sahibi Oturuyor,Gaziosmanpaşa,"15,250"
3+1,130,120,6,21 Ve Üzeri,Merkezi (Pay Ölçer),8,Boş,Kadıköy,"15,000"
1+1,90,80,4,16-20,Kombi Doğalgaz,8,Boş,Beylikdüzü,"7,500"
3+2,280,250,29,5-10,Merkezi (Pay Ölçer),30,Boş,Esenyurt,"13,000"
2+1,85,68,8,5-10,Kombi Doğalgaz,11,Boş,Pendik,"8,000"
2+1,125,115,22,5-10,Merkezi (Pay Ölçer),25,Boş,Esenyurt,"8,500"
4+1,295,250,Çatı Katı,16-20,Kombi Doğalgaz,4,Boş,Maltepe,"29,500"
3+1,185,150,3,0 (Yeni),Kombi Doğalgaz,5,Boş,Beylikdüzü,"9,000"
3.5+1,185,150,4,4,Kombi Doğalgaz,7,Boş,Beylikdüzü,"9,000"
1+1,60,50,Yüksek Giriş,21 Ve Üzeri,Merkezi Doğalgaz,14,Boş,Esenyurt,"7,000"
1+1,65,55,9,0 (Yeni),Merkezi (Pay Ölçer),32,Boş,Ümraniye,"15,000"
1+1,60,50,Yüksek Giriş,21 Ve Üzeri,Merkezi Doğalgaz,14,Boş,Esenyurt,"7,000"
1+1,65,55,9,0 (Yeni),Merkezi (Pay Ölçer),32,Boş,Ümraniye,"15,000"
2+1,105,95,5,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Büyükçekmece,"8,000"
2+1,130,110,Yüksek Giriş,16-20,Kombi Doğalgaz,3,Boş,Bayrampaşa,"8,100"
1+1,56,43,1,0 (Yeni),Merkezi (Pay Ölçer),32,Boş,Ümraniye,"7,500"
2+2,200,150,Çatı Dubleks,3,Kombi Doğalgaz,4,Boş,Şile,"10,000"
2+1,90,80,1,4,Kombi Doğalgaz,6,Boş,Beylikdüzü,"10,000"
2+1,110,100,1,0 (Yeni),Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Bahçelievler,"12,000"
2+0,70,60,3,21 Ve Üzeri,Kombi Fueloil,3,Boş,Beyoğlu,"8,500"
2+1,120,85,Yüksek Giriş,16-20,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Eyüpsultan,"10,000"
3+1,160,120,4,21 Ve Üzeri,Merkezi Doğalgaz,8,Boş,Kadıköy,"15,000"
2+1,80,70,3,11-15,Kombi Doğalgaz,4,Boş,Ataşehir,"10,000"
2+1,110,100,2,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Küçükçekmece,"7,000"
2+1,75,70,3,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Fatih,"7,000"
1.5+1,90,80,Düz Giriş,2,Sobalı,1,Mülk Sahibi Oturuyor,Sarıyer,"10,000"
1+1,55,40,2,5-10,Merkezi (Pay Ölçer),13,Boş,Kağıthane,"15,000"
3+1,180,160,4,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Beşiktaş,"25,000"
2+1,112,80,27,11-15,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Şişli,"20,000"
2+1,125,115,Düz Giriş,5-10,Kombi Doğalgaz,3,Boş,Silivri,"6,000"
1+1,60,50,8,5-10,Merkezi (Pay Ölçer),15,Mülk Sahibi Oturuyor,Kağıthane,"20,000"
3+1,110,100,4,16-20,Kombi Doğalgaz,4,Boş,Avcılar,"7,500"
2+1,110,100,4,16-20,Merkezi (Pay Ölçer),10,Mülk Sahibi Oturuyor,Sarıyer,"30,000"
2+1,75,72,2,1,Kombi Doğalgaz,6,Mülk Sahibi Oturuyor,Eyüpsultan,"10,000"
2+1,85,80,6,0 (Yeni),Kombi Doğalgaz,9,Mülk Sahibi Oturuyor,Şişli,"10,000"
2+1,120,110,Yüksek Giriş,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"25,000"
3+1,175,165,2,5-10,Kombi Doğalgaz,16,Boş,Beylikdüzü,"12,000"
1+1,65,55,1,5-10,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"9,000"
Stüdyo,55,45,3,5-10,Merkezi (Pay Ölçer),8,Boş,Esenyurt,"6,000"
Stüdyo,50,37,2,21 Ve Üzeri,Klimalı,4,Mülk Sahibi Oturuyor,Kadıköy,"9,500"
3+2,250,200,Düz Giriş,16-20,Kombi Doğalgaz,2,Mülk Sahibi Oturuyor,Silivri,"17,500"
3+1,150,135,5,5-10,Merkezi (Pay Ölçer),10,Boş,Beylikdüzü,"15,000"
3+1,165,135,3,4,Kombi Doğalgaz,5,Boş,Beylikdüzü,"12,000"
1+1,65,55,Bahçe Katı,21 Ve Üzeri,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Şile,"6,500"
2+1,100,80,Düz Giriş,3,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Şile,"6,500"
1+1,60,50,8,0 (Yeni),Merkezi (Pay Ölçer),15,Mülk Sahibi Oturuyor,Kağıthane,"20,000"
2+1,87,72,7,21 Ve Üzeri,Kombi Doğalgaz,11,Mülk Sahibi Oturuyor,Başakşehir,"12,000"
2+1,117,107,1,11-15,Kombi Doğalgaz,6,Mülk Sahibi Oturuyor,Başakşehir,"15,000"
2+1,110,75,16,3,Merkezi Doğalgaz,30,Boş,Kadıköy,"22,500"
1+1,110,90,1,5-10,Merkezi Doğalgaz,15,Boş,Şişli,"30,000"
5+1,500,220,Villa Tipi,11-15,Kombi Fueloil,2,Kiracı Oturuyor,Sarıyer,"25,000"
3+1,170,145,13,5-10,Merkezi (Pay Ölçer),22,Mülk Sahibi Oturuyor,Küçükçekmece,"28,000"
3+1,170,145,13,5-10,Merkezi (Pay Ölçer),22,Mülk Sahibi Oturuyor,Küçükçekmece,"28,000"
2+1,125,110,3,4,Kombi Doğalgaz,6,Boş,Beylikdüzü,"8,500"
1+1,88,65,8,4,Merkezi (Pay Ölçer),42,Boş,Sarıyer,"25,000"
1+1,91,75,1,2,Merkezi (Pay Ölçer),8,Boş,Sarıyer,"30,000"
3+1,110,100,2,16-20,Kombi Doğalgaz,3,Boş,Sarıyer,"16,000"
2+1,180,150,3,16-20,Kombi Doğalgaz,4,Boş,Arnavutköy,"7,000"
1+1,80,60,1,4,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"15,500"
5+1,350,300,Villa Tipi,5-10,Kombi Doğalgaz,3,Boş,Büyükçekmece,"35,000"
3+1,170,140,10,11-15,Kombi Doğalgaz,13,Mülk Sahibi Oturuyor,Ataşehir,"32,000"
2+1,75,65,5,2,Kombi Doğalgaz,6,Boş,Bahçelievler,"10,000"
2+1,120,90,4,3,Merkezi (Pay Ölçer),20,Boş,Esenyurt,"7,500"
5+1,200,190,4,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Üsküdar,"12,500"
2+1,110,75,16,3,Merkezi Doğalgaz,30,Boş,Kadıköy,"25,000"
2+1,130,120,4,16-20,Kombi Doğalgaz,4,Boş,Fatih,"12,600"
3+1,160,140,Çatı Katı,21 Ve Üzeri,Merkezi Doğalgaz,4,Mülk Sahibi Oturuyor,Bakırköy,"19,000"
2+1,145,120,6,11-15,Merkezi (Pay Ölçer),8,Mülk Sahibi Oturuyor,Büyükçekmece,"12,500"
1+1,55,45,2,4,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Avcılar,"7,000"
1+1,110,90,1,11-15,Merkezi Doğalgaz,15,Mülk Sahibi Oturuyor,Şişli,"25,000"
Stüdyo,35,30,Bahçe Katı,0 (Yeni),Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Ataşehir,"5,000"
Stüdyo,35,30,Bahçe Katı,0 (Yeni),Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Ataşehir,"5,000"
1+1,70,60,Yüksek Giriş,5-10,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Ataşehir,"6,500"
1+1,90,80,2,3,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Arnavutköy,"6,000"
1+1,70,55,15,1,Merkezi (Pay Ölçer),17,Mülk Sahibi Oturuyor,Sarıyer,"20,000"
1+1,70,55,15,1,Merkezi (Pay Ölçer),17,Mülk Sahibi Oturuyor,Sarıyer,"20,000"
5+2,310,280,Villa Tipi,5-10,Kombi Doğalgaz,3,Boş,Beylikdüzü,"29,000"
2+1,70,60,Bahçe Katı,16-20,Kombi Doğalgaz,5,Boş,Gaziosmanpaşa,"7,000"
3+1,120,100,2,11-15,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Bağcılar,"10,000"
2+1,140,135,4,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Kartal,"8,000"
1+1,75,60,Yüksek Giriş,0 (Yeni),Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Başakşehir,"6,000"
2+1,110,95,4,1,Kombi Doğalgaz,9,Boş,Eyüpsultan,"14,500"
2+1,125,115,7,11-15,Merkezi (Pay Ölçer),16,Boş,Beylikdüzü,"10,000"
3+1,169,120,5,4,Merkezi (Pay Ölçer),12,Mülk Sahibi Oturuyor,Başakşehir,"18,000"
1+1,85,75,34,4,Merkezi (Pay Ölçer),40,Boş,Esenyurt,"13,500"
2+1,95,85,Bahçe Katı,2,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Çekmeköy,"7,500"
2+1,90,85,5,11-15,Kombi Doğalgaz,10,Mülk Sahibi Oturuyor,Başakşehir,"9,000"
2+1,74,65,3,11-15,Kat Kaloriferi,13,Mülk Sahibi Oturuyor,Avcılar,"8,500"
