Oda_Sayisi,Brut,Net,Bulundugu_Kat,Bina_Yas,Isitma_Tipi,Kat_sayisi,Kullanim_Durumu,Ilce,Fiyat
3+1,145,140,3,21 Ve Üzeri,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Avcılar,"15,000"
2+1,85,78,2,4,Kombi Doğalgaz,4,Boş,Sancaktepe,"6,500"
3+1,135,125,9,16-20,Kombi Doğalgaz,9,Boş,Kartal,"12,500"
2+1,80,70,5,4,Merkezi (Pay Ölçer),7,Mülk Sahibi Oturuyor,Başakşehir,"9,000"
4+2,150,140,5,5-10,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Bahçelievler,"15,000"
3+1,115,95,Kot 1 (-1),21 Ve Üzeri,Merkezi Doğalgaz,5,Boş,Şişli,"13,000"
2+1,101,90,3,4,Merkezi (Pay Ölçer),16,Boş,Esenyurt,"9,000"
2+1,130,120,3,5-10,Kombi Doğalgaz,4,Boş,Çekmeköy,"10,999"
3+1,125,120,1,11-15,Kombi Doğalgaz,4,Boş,Ataşehir,"12,000"
3+1,160,140,3,5-10,Merkezi (Pay Ölçer),6,Mülk Sahibi Oturuyor,Kağıthane,"42,500"
2+1,150,120,8,2,Merkezi Doğalgaz,10,Boş,Kağıthane,"32,000"
2+1,110,70,21,2,Merkezi (Pay Ölçer),29,Mülk Sahibi Oturuyor,Maltepe,"25,000"
3+1,120,110,2,16-20,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Sarıyer,"15,000"
3+1,140,120,Düz Giriş,3,Kombi Doğalgaz,4,Boş,Maltepe,"21,000"
2+1,115,100,3,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Bağcılar,"7,000"
1+1,70,60,20,5-10,Merkezi Doğalgaz,30,Boş,Esenyurt,"6,000"
4+1,300,280,Villa Tipi,5-10,Kombi Doğalgaz,3,Boş,Beylikdüzü,"29,000"
1+1,78,58,11,0 (Yeni),Yerden Isıtma,30,Mülk Sahibi Oturuyor,Ümraniye,"15,000"
3+1,160,145,2,11-15,Kombi Doğalgaz,10,Boş,Bahçelievler,"10,000"
4+1,260,250,2,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Bakırköy,"45,000"
2+1,95,85,5,11-15,Kombi Doğalgaz,8,Mülk Sahibi Oturuyor,Ataşehir,"10,500"
1+1,85,80,13,5-10,Merkezi Doğalgaz,16,Boş,Beylikdüzü,"11,500"
2+1,92,75,6,5-10,Merkezi (Pay Ölçer),6,Kiracı Oturuyor,Başakşehir,"10,500"
1+1,66,40,2,2,Merkezi (Pay Ölçer),20,Mülk Sahibi Oturuyor,Sarıyer,"13,000"
3+1,160,145,Düz Giriş,4,Kombi Doğalgaz,7,Boş,Beylikdüzü,"13,000"
2+1,125,115,3,16-20,Kombi Doğalgaz,6,Boş,Beylikdüzü,"9,500"
3+1,160,145,3,5-10,Kombi Doğalgaz,6,Boş,Beylikdüzü,"13,000"
1+1,80,70,Bahçe Katı,16-20,Kombi Doğalgaz,5,Boş,Sarıyer,"8,500"
1+1,95,85,5,5-10,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Sarıyer,"19,000"
3+1,170,130,20,5-10,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Sarıyer,"37,000"
2+1,115,90,Yüksek Giriş,21 Ve Üzeri,Merkezi (Pay Ölçer),4,Mülk Sahibi Oturuyor,Kadıköy,"18,000"
1+1,65,55,6,4,Merkezi (Pay Ölçer),23,Mülk Sahibi Oturuyor,Kadıköy,"12,500"
1+1,95,85,1,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Eyüpsultan,"8,500"
3+1,200,180,2,5-10,Kombi Doğalgaz,8,Mülk Sahibi Oturuyor,Beylikdüzü,"25,000"
2+1,110,100,13,21 Ve Üzeri,Merkezi Doğalgaz,14,Mülk Sahibi Oturuyor,Bakırköy - Ataköy 7-8-9,"14,000"
4+1,240,220,Müstakil,21 Ve Üzeri,Kombi Doğalgaz,2,Boş,Bahçelievler,"30,000"
2+1,110,90,Düz Giriş,11-15,Kombi Doğalgaz,3,Boş,Ataşehir,"12,000"
1+1,75,60,Kot 1 (-1),21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Beyoğlu,"6,500"
2+1,101,72,15,0 (Yeni),Merkezi (Pay Ölçer),17,Mülk Sahibi Oturuyor,Kağıthane,"35,000"
2+1,80,75,Düz Giriş,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Avcılar,"6,000"
Stüdyo,40,30,Bahçe Katı,0 (Yeni),Kombi Doğalgaz,3,Boş,Ataşehir,"6,250"
3+1,140,105,23,4,Merkezi (Pay Ölçer),29,Mülk Sahibi Oturuyor,Başakşehir,"25,000"
2+1,155,110,1,5-10,Merkezi (Pay Ölçer),27,Mülk Sahibi Oturuyor,Avcılar,"23,000"
3+1,150,140,6,21 Ve Üzeri,Kombi Doğalgaz,6,Mülk Sahibi Oturuyor,Bayrampaşa,"10,000"
2+1,80,75,3,4,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Kağıthane,"10,000"
2+0,60,45,Düz Giriş,21 Ve Üzeri,Kombi Doğalgaz,7,Mülk Sahibi Oturuyor,Beyoğlu,"10,000"
1+1,80,65,4,21 Ve Üzeri,Kombi Doğalgaz,6,Boş,Şişli,"15,000"
1+1,60,50,10,4,Merkezi (Pay Ölçer),17,Mülk Sahibi Oturuyor,Kağıthane,"19,500"
1+1,60,40,9,1,Merkezi (Pay Ölçer),17,Mülk Sahibi Oturuyor,Sarıyer,"17,500"
1+1,60,40,8,1,Merkezi (Pay Ölçer),17,Mülk Sahibi Oturuyor,Sarıyer,"19,000"
1+1,80,65,20,5-10,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Sarıyer,"16,000"
Stüdyo,60,40,18,4,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Sarıyer,"15,000"
3+1,155,138,9,5-10,Merkezi (Pay Ölçer),16,Mülk Sahibi Oturuyor,Beylikdüzü,"17,500"
2+1,85,75,5,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Beyoğlu,"18,000"
1+1,90,50,17,4,Merkezi (Pay Ölçer),24,Mülk Sahibi Oturuyor,Gaziosmanpaşa,"15,000"
2+1,95,85,20,5-10,Merkezi (Pay Ölçer),27,Boş,Esenyurt,"6,000"
3+1,140,130,3,4,Kombi Doğalgaz,6,Boş,Beylikdüzü,"13,000"
2+1,85,80,Bahçe Katı,21 Ve Üzeri,Kombi Doğalgaz,6,Mülk Sahibi Oturuyor,Şişli,"15,000"
1+1,90,85,4,4,Kombi Doğalgaz,9,Mülk Sahibi Oturuyor,Beylikdüzü,"10,000"
2+1,85,75,4,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Beyoğlu,"18,000"
4+1,280,240,1,5-10,Merkezi (Pay Ölçer),18,Boş,Başakşehir,"16,000"
3+1,145,140,10,4,Kombi Doğalgaz,15,Boş,Esenyurt,"11,000"
1+1,60,34,14,2,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Kartal,"15,000"
1+1,80,65,3,1,Kombi Doğalgaz,6,Mülk Sahibi Oturuyor,Şişli,"45,000"
2+1,90,80,3,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Sarıyer,"15,000"
1+1,65,50,12,0 (Yeni),Merkezi (Pay Ölçer),14,Boş,Kağıthane,"16,000"
3+1,190,150,13,5-10,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Sarıyer,"45,000"
3+1,135,110,7,16-20,Kombi Doğalgaz,7,Mülk Sahibi Oturuyor,Maltepe,"6,750"
2+1,95,85,3,5-10,Kombi Doğalgaz,5,Boş,Şişli,"15,000"
4+1,220,160,5,5-10,Kat Kaloriferi,15,Boş,Beşiktaş,"30,000"
1+1,60,50,Düz Giriş,11-15,Kombi Doğalgaz,4,Boş,Ümraniye,"7,750"
1+1,86,54,10,4,Merkezi (Pay Ölçer),24,Mülk Sahibi Oturuyor,Gaziosmanpaşa,"15,000"
Stüdyo,20,15,Yüksek Giriş,4,Klimalı,3,Mülk Sahibi Oturuyor,Fatih,"3,500"
2+1,120,105,6,5-10,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Esenyurt,"7,500"
Stüdyo,35,25,1,4,Merkezi (Pay Ölçer),4,Mülk Sahibi Oturuyor,Ataşehir,"6,500"
1+1,90,80,2,3,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Arnavutköy,"6,500"
1+1,68,48,3,5-10,Merkezi (Pay Ölçer),29,Mülk Sahibi Oturuyor,Başakşehir,"18,500"
1+1,72,55,2,16-20,Kombi Doğalgaz,8,Mülk Sahibi Oturuyor,Şişli,"12,000"
1+1,90,85,1,4,Kombi Doğalgaz,9,Mülk Sahibi Oturuyor,Beylikdüzü,"6,750"
3+1,120,110,Düz Giriş,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Avcılar,"7,000"
Stüdyo,55,45,3,21 Ve Üzeri,Isıtma Yok,3,Boş,Beyoğlu,"4,750"
2+1,115,100,3,21 Ve Üzeri,Merkezi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"25,000"
2+1,110,105,5,21 Ve Üzeri,Kombi Doğalgaz,20,Mülk Sahibi Oturuyor,Zeytinburnu,"12,000"
1+1,50,30,4,4,Merkezi (Pay Ölçer),14,Boş,Kağıthane,"15,000"
2+1,110,95,4,21 Ve Üzeri,Kombi Doğalgaz,6,Mülk Sahibi Oturuyor,Küçükçekmece,"10,000"
3+1,150,130,12,21 Ve Üzeri,Merkezi (Pay Ölçer),17,Boş,Kadıköy,"20,000"
2+1,110,95,4,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bahçelievler,"7,500"
3+1,160,135,Düz Giriş,5-10,Kombi Doğalgaz,6,Mülk Sahibi Oturuyor,Büyükçekmece,"11,000"
3+1,120,110,Bahçe Katı,4,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"28,000"
2+1,130,120,2,5-10,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Şişli,"30,000"
4+1,220,200,3,5-10,Kombi Doğalgaz,8,Mülk Sahibi Oturuyor,Beylikdüzü,"17,000"
1+1,98,84,9,5-10,Merkezi (Pay Ölçer),19,Boş,Sarıyer,"22,000"
1+1,90,60,5,5-10,Merkezi (Pay Ölçer),42,Boş,Şişli,"25,000"
4+1,200,170,Villa Tipi,11-15,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Şile,"14,000"
1+1,70,50,16,3,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Avcılar,"7,500"
2+1,95,85,Bahçe Katı,2,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Çekmeköy,"7,500"
2+1,100,90,Düz Giriş,16-20,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"15,000"
2+1,120,100,5,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"25,000"
3+1,140,110,5,21 Ve Üzeri,Merkezi Doğalgaz,5,Mülk Sahibi Oturuyor,Şişli,"22,000"
3+1,130,110,1,5-10,Kombi Doğalgaz,6,Boş,Beylikdüzü,"12,000"
3+1,120,110,4,11-15,Kombi Doğalgaz,7,Mülk Sahibi Oturuyor,Beşiktaş,"20,000"
2+1,82,69,3,4,Merkezi (Pay Ölçer),5,Mülk Sahibi Oturuyor,Başakşehir,"11,500"
3+1,160,110,6,5-10,Kombi Doğalgaz,9,Mülk Sahibi Oturuyor,Üsküdar,"16,500"
3+1,160,110,6,5-10,Kombi Doğalgaz,9,Mülk Sahibi Oturuyor,Üsküdar,"16,500"
1+1,60,40,7,1,Merkezi (Pay Ölçer),17,Mülk Sahibi Oturuyor,Kağıthane,"17,500"
1+1,50,35,8,1,Merkezi (Pay Ölçer),16,Mülk Sahibi Oturuyor,Kağıthane,"12,500"
3+1,145,135,4,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Avcılar,"11,000"
2+1,65,60,6,11-15,Merkezi (Pay Ölçer),10,Boş,Başakşehir,"8,000"
1+1,70,60,15,5-10,Merkezi (Pay Ölçer),18,Mülk Sahibi Oturuyor,Bayrampaşa,"12,500"
3+1,190,180,4,5-10,Kombi Doğalgaz,8,Mülk Sahibi Oturuyor,Büyükçekmece,"17,000"
1+1,65,55,6,4,Merkezi (Pay Ölçer),23,Boş,Kadıköy,"12,500"
1+1,75,65,Düz Giriş,5-10,Kombi Doğalgaz,5,Boş,Esenyurt,"4,000"
1+1,140,110,3,21 Ve Üzeri,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Pendik,"6,250"
3+1,120,110,1,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Bahçelievler,"11,500"
1+1,52,50,4,16-20,Merkezi Doğalgaz,18,Mülk Sahibi Oturuyor,Küçükçekmece,"7,500"
1+1,110,100,2,4,Kombi Doğalgaz,4,Boş,Beylikdüzü,"8,000"
5+2,1.000,450,Düz Giriş,21 Ve Üzeri,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Beylikdüzü,"43,000"
2+1,80,75,1,21 Ve Üzeri,Klimalı,4,Boş,Kadıköy,"30,000"
4+1,400,350,Düz Giriş,11-15,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Büyükçekmece,"20,000"
3+1,110,90,1,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Şişli,"29,000"
6+2,430,380,Düz Giriş,0 (Yeni),Yerden Isıtma,4,Mülk Sahibi Oturuyor,Beylikdüzü,"35,000"
5+1,900,350,Müstakil,5-10,Kombi Doğalgaz,2,Kiracı Oturuyor,Silivri,"20,000"
5+2,250,220,Villa Tipi,5-10,Kombi Doğalgaz,2,Boş,Silivri,"15,000"
1+1,75,60,3,21 Ve Üzeri,Kombi Doğalgaz,3,Boş,Beyoğlu,"10,000"
1+1,75,50,4,0 (Yeni),Merkezi Doğalgaz,13,Boş,Sarıyer,"20,000"
2+1,80,79,10,4,Merkezi Doğalgaz,18,Kiracı Oturuyor,Küçükçekmece,"14,500"
3+1,120,110,2,16-20,Kombi Doğalgaz,2,Boş,Sarıyer,"15,000"
1+1,75,65,16,5-10,Merkezi (Pay Ölçer),36,Mülk Sahibi Oturuyor,Sarıyer,"25,000"
1+1,75,70,4,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Beşiktaş,"12,500"
5+2,500,400,Düz Giriş,16-20,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Beylikdüzü,"40,000"
5+1,700,470,Müstakil,5-10,Kombi Doğalgaz,3,Boş,Silivri,"30,000"
3+2,200,180,Çatı Katı,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Kartal,"11,000"
1+1,65,55,5,0 (Yeni),Merkezi Doğalgaz,11,Boş,Beylikdüzü,"14,000"
1+1,65,55,5,0 (Yeni),Merkezi Doğalgaz,11,Boş,Beylikdüzü,"14,000"
1+1,90,80,Bahçe Katı,16-20,Kombi Doğalgaz,3,Boş,Sarıyer,"9,000"
2+1,75,60,1,11-15,Klimalı,4,Boş,Kartal,"6,000"
3+1,140,130,3,16-20,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Avcılar,"15,000"
2+1,115,85,15,5-10,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Sarıyer,"35,000"
2+1,115,80,14,5-10,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Sarıyer,"30,000"
2+1,95,85,Kot 2 (-2),21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Bakırköy,"11,500"
3+1,160,130,7,11-15,Kombi Doğalgaz,7,Boş,Pendik,"12,500"
1+1,70,60,16,5-10,Merkezi (Pay Ölçer),36,Mülk Sahibi Oturuyor,Sarıyer,"25,000"
4.5+1,200,175,3,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Avcılar,"8,600"
2+1,165,140,Müstakil,5-10,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Beşiktaş,"26,000"
1+1,85,65,14,0 (Yeni),Merkezi (Pay Ölçer),16,Mülk Sahibi Oturuyor,Kağıthane,"18,000"
1+1,65,45,3,1,Merkezi Doğalgaz,18,Boş,Kağıthane,"18,000"
2+1,102,70,5,5-10,Merkezi (Pay Ölçer),18,Mülk Sahibi Oturuyor,Bağcılar,"15,000"
1+1,80,70,5,5-10,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Maltepe,"5,300"
2+1,95,85,1,21 Ve Üzeri,Kombi Doğalgaz,5,Boş,Bahçelievler,"9,000"
1+1,90,75,5,1,Yerden Isıtma,5,Boş,Beşiktaş,"22,000"
1+1,70,60,14,4,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Kadıköy,"12,500"
2+1,120,100,3,11-15,Kombi Doğalgaz,5,Boş,Küçükçekmece,"7,000"
2+1,110,77,2,0 (Yeni),Merkezi (Pay Ölçer),3,Boş,Maltepe,"25,000"
4+1,220,190,10,5-10,Kombi Doğalgaz,12,Mülk Sahibi Oturuyor,Beylikdüzü,"32,000"
1+1,60,40,15,4,Merkezi (Pay Ölçer),34,Boş,Kartal,"15,000"
2+1,100,90,5,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Küçükçekmece,"12,000"
2+1,85,75,Kot 1 (-1),11-15,Merkezi (Pay Ölçer),9,Mülk Sahibi Oturuyor,Başakşehir,"7,000"
3+1,170,160,1,5-10,Kombi Doğalgaz,4,Boş,Avcılar,"15,500"
3+1,125,115,5,4,Kombi Doğalgaz,5,Kiracı Oturuyor,Tuzla,"12,000"
2+1,125,110,9,5-10,Merkezi (Pay Ölçer),18,Mülk Sahibi Oturuyor,Bayrampaşa,"15,000"
3+1,130,120,4,0 (Yeni),Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Bayrampaşa,"12,500"
4+1,190,180,7,5-10,Kombi Doğalgaz,8,Boş,Beylikdüzü,"14,000"
2+1,95,80,8,4,Merkezi (Pay Ölçer),14,Mülk Sahibi Oturuyor,Kağıthane,"15,000"
2+1,100,90,1,21 Ve Üzeri,Isıtma Yok,2,Boş,Silivri,"15,000"
3+1,165,155,5,16-20,Isıtma Yok,5,Boş,Şile,"18,000"
1+1,90,75,2,16-20,Isıtma Yok,5,Kiracı Oturuyor,Kadıköy,"9,000"
2+1,125,120,Yüksek Giriş,21 Ve Üzeri,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Sarıyer,"8,000"
1+1,85,65,14,0 (Yeni),Merkezi (Pay Ölçer),16,Mülk Sahibi Oturuyor,Kağıthane,"18,000"
4+1,240,200,Çatı Katı,5-10,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Kağıthane,"15,000"
2+1,124,90,9,5-10,Merkezi (Pay Ölçer),13,Mülk Sahibi Oturuyor,Avcılar,"13,500"
3+1,145,120,5,5-10,Merkezi (Pay Ölçer),20,Mülk Sahibi Oturuyor,Bağcılar,"25,000"
3+1,120,100,Düz Giriş,21 Ve Üzeri,Kombi Doğalgaz,4,Mülk Sahibi Oturuyor,Tuzla,"10,000"
1+1,85,78,28,0 (Yeni),Merkezi (Pay Ölçer),30,Boş,Esenyurt,"11,000"
3+1,125,115,Düz Giriş,21 Ve Üzeri,Kombi Doğalgaz,5,Mülk Sahibi Oturuyor,Avcılar,"7,000"
6+1,240,220,Düz Giriş,11-15,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Beylikdüzü,"23,000"
3+1,120,110,Villa Tipi,21 Ve Üzeri,Isıtma Yok,2,Mülk Sahibi Oturuyor,Şile,"17,500"
2+1,110,85,7,5-10,Merkezi (Pay Ölçer),16,Mülk Sahibi Oturuyor,Bahçelievler,"19,000"
1+1,68,55,2,5-10,Merkezi (Pay Ölçer),11,Mülk Sahibi Oturuyor,Kartal,"8,000"
4+1,220,190,10,5-10,Kombi Doğalgaz,12,Boş,Beylikdüzü,"21,000"
2+1,78,70,2,21 Ve Üzeri,Kombi Doğalgaz,4,Boş,Fatih,"6,500"
5+2,220,200,3,5-10,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Küçükçekmece,"17,000"
1+1,120,105,11,5-10,Merkezi (Pay Ölçer),14,Mülk Sahibi Oturuyor,Esenyurt,"9,000"
3+1,220,219,3,5-10,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Küçükçekmece,"33,000"
2+1,115,95,3,4,Kombi Doğalgaz,20,Mülk Sahibi Oturuyor,Esenyurt,"6,500"
2+1,110,100,2,5-10,Kombi Doğalgaz,13,Mülk Sahibi Oturuyor,Esenyurt,"6,500"
3+1,185,180,9,5-10,Merkezi (Pay Ölçer),13,Mülk Sahibi Oturuyor,Beylikdüzü,"15,000"
2+1,125,90,15,3,Yerden Isıtma,30,Mülk Sahibi Oturuyor,Sarıyer,"26,000"
1+1,65,55,2,5-10,Merkezi (Pay Ölçer),13,Mülk Sahibi Oturuyor,Esenyurt,"6,500"
3+1,220,190,4,4,Kombi Doğalgaz,8,Mülk Sahibi Oturuyor,Beylikdüzü,"15,000"
4+1,325,300,Düz Giriş,11-15,Kombi Doğalgaz,3,Mülk Sahibi Oturuyor,Beykoz,"25,000"
3+1,170,150,10,5-10,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Sarıyer,"38,000"
3+1,170,135,10,5-10,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Sarıyer,"40,000"
3+1,170,150,21,11-15,Klimalı,30,Mülk Sahibi Oturuyor,Sarıyer,"45,000"
1+1,65,60,1,5-10,Kombi Doğalgaz,5,Boş,Maltepe,"6,000"
3+1,125,120,4,0 (Yeni),Merkezi Doğalgaz,6,Boş,Beşiktaş,"30,000"
1+1,60,48,6,4,Merkezi (Pay Ölçer),8,Mülk Sahibi Oturuyor,Başakşehir,"8,000"
1+1,65,55,11,1,Merkezi Doğalgaz,15,Boş,Sarıyer,"25,000"
2+1,140,120,Villa Tipi,21 Ve Üzeri,Kombi Doğalgaz,2,Boş,Şile,"7,000"
Stüdyo,35,30,2,3,Klimalı,4,Boş,Fatih,"4,500"
2+1,85,80,2,16-20,Yerden Isıtma,4,Boş,Büyükçekmece,"5,500"
3+1,135,120,2,21 Ve Üzeri,Kombi Doğalgaz,5,Kiracı Oturuyor,Beşiktaş,"20,000"
3+1,190,150,Bahçe Katı,5-10,Merkezi (Pay Ölçer),9,Mülk Sahibi Oturuyor,Pendik,"15,500"
2+1,130,120,1,5-10,Doğalgaz Sobalı,3,Mülk Sahibi Oturuyor,Başakşehir,"6,500"
3+1,100,98,3,11-15,Kombi Doğalgaz,5,Boş,Kartal,"7,500"
2+1,110,100,22,1,Kat Kaloriferi,35,Boş,Avcılar,"23,000"
2+1,115,95,5,16-20,Kombi Doğalgaz,5,Boş,Küçükçekmece,"5,800"
1+1,70,50,17,3,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Avcılar,"7,000"
1+1,70,57,23,5-10,Merkezi (Pay Ölçer),28,Mülk Sahibi Oturuyor,Bağcılar,"9,500"
3+1,117,90,20-30,5-10,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Sarıyer,"25,000"
2+1,115,90,14,5-10,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Sarıyer,"35,000"
3+1,170,130,15,5-10,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Sarıyer,"45,000"
2+1,115,90,4,5-10,Merkezi (Pay Ölçer),14,Mülk Sahibi Oturuyor,Sarıyer,"32,000"
1+1,85,75,6,5-10,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Sarıyer,"20,000"
4+1,190,145,5,21 Ve Üzeri,Kombi Doğalgaz,15,Mülk Sahibi Oturuyor,Kadıköy,"27,500"
3+1,185,165,2,16-20,Merkezi (Pay Ölçer),5,Boş,Beşiktaş,"30,000"
Stüdyo,60,55,1,11-15,Klimalı,8,Mülk Sahibi Oturuyor,Pendik,"8,250"
2+1,110,100,8,5-10,Kombi Doğalgaz,14,Boş,Esenyurt,"7,500"
1+1,95,63,4,4,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Sarıyer,"25,000"
3+1,105,90,3,5-10,Kombi Doğalgaz,5,Boş,Kağıthane,"11,000"
1+1,85,45,19,4,Merkezi (Pay Ölçer),24,Mülk Sahibi Oturuyor,Gaziosmanpaşa,"13,000"
1+1,67,46,13,4,Merkezi (Pay Ölçer),20,Mülk Sahibi Oturuyor,Gaziosmanpaşa,"12,000"
1+1,87,45,6,4,Merkezi (Pay Ölçer),24,Mülk Sahibi Oturuyor,Gaziosmanpaşa,"10,000"
2+1,102,92,11,11-15,Merkezi (Pay Ölçer),30,Mülk Sahibi Oturuyor,Esenyurt,"7,000"
